Sample Question 1: Math: 1+1=?,1,2,3,4,B
Sample Question 2: Math: 2+1=?,2,3,4,5,B
Sample Question 3: Math: 3+1=?,3,4,5,6,B
Sample Question 4: Math: 4+1=?,4,5,6,7,B
Sample Question 5: Math: 5+1=?,5,6,7,8,B
Sample Question 6: Math: 6+1=?,6,7,8,9,B
Sample Question 7: Math: 7+1=?,7,8,9,10,B
Sample Question 8: Math: 8+1=?,8,9,10,11,B
Sample Question 9: Math: 9+1=?,9,10,11,12,B
Sample Question 10: Math: 10+1=?,10,11,12,13,B
Sample Question 11: Math: 2+2=?,3,4,5,6,B
Sample Question 12: Math: 3+2=?,4,5,6,7,B
Sample Question 13: Math: 4+2=?,5,6,7,8,B
Sample Question 14: Math: 5+2=?,6,7,8,9,B
Sample Question 15: Math: 6+2=?,7,8,9,10,B
Sample Question 16: Math: 7+2=?,8,9,10,11,B
Sample Question 17: Math: 8+2=?,9,10,11,12,B
Sample Question 18: Math: 9+2=?,10,11,12,13,B
Sample Question 19: Math: 10+2=?,11,12,13,14,B
Sample Question 20: Math: 11+2=?,12,13,14,15,B
Sample Question 21: Math: 5-1=?,2,3,4,5,C
Sample Question 22: Math: 6-1=?,3,4,5,6,C
Sample Question 23: Math: 7-1=?,4,5,6,7,C
Sample Question 24: Math: 8-1=?,5,6,7,8,C
Sample Question 25: Math: 9-1=?,6,7,8,9,C
Sample Question 26: Math: 10-1=?,7,8,9,10,C
Sample Question 27: Math: 11-1=?,8,9,10,11,C
Sample Question 28: Math: 12-1=?,9,10,11,12,C
Sample Question 29: Math: 13-1=?,10,11,12,13,C
Sample Question 30: Math: 14-1=?,11,12,13,14,C
Sample Question 31: Math: 6-2=?,2,3,4,5,C
Sample Question 32: Math: 7-2=?,3,4,5,6,C
Sample Question 33: Math: 8-2=?,4,5,6,7,C
Sample Question 34: Math: 9-2=?,5,6,7,8,C
Sample Question 35: Math: 10-2=?,6,7,8,9,C
Sample Question 36: Math: 11-2=?,7,8,9,10,C
Sample Question 37: Math: 12-2=?,8,9,10,11,C
Sample Question 38: Math: 13-2=?,9,10,11,12,C
Sample Question 39: Math: 14-2=?,10,11,12,13,C
Sample Question 40: Math: 15-2=?,11,12,13,14,C
Sample Question 41: Math: 3+3=?,5,6,7,8,B
Sample Question 42: Math: 4+3=?,6,7,8,9,B
Sample Question 43: Math: 5+3=?,7,8,9,10,B
Sample Question 44: Math: 6+3=?,8,9,10,11,B
Sample Question 45: Math: 7+3=?,9,10,11,12,B
Sample Question 46: Math: 8+3=?,10,11,12,13,B
Sample Question 47: Math: 9+3=?,11,12,13,14,B
Sample Question 48: Math: 10+3=?,12,13,14,15,B
Sample Question 49: Math: 11+3=?,13,14,15,16,B
Sample Question 50: Math: 12+3=?,14,15,16,17,B
Sample Question 51: Math: 10-3=?,5,6,7,8,C
Sample Question 52: Math: 11-3=?,6,7,8,9,C
Sample Question 53: Math: 12-3=?,7,8,9,10,C
Sample Question 54: Math: 13-3=?,8,9,10,11,C
Sample Question 55: Math: 14-3=?,9,10,11,12,C
Sample Question 56: Math: 15-3=?,10,11,12,13,C
Sample Question 57: Math: 16-3=?,11,12,13,14,C
Sample Question 58: Math: 17-3=?,12,13,14,15,C
Sample Question 59: Math: 18-3=?,13,14,15,16,C
Sample Question 60: Math: 19-3=?,14,15,16,17,C
Sample Question 61: Math: 4+4=?,7,8,9,10,B
Sample Question 62: Math: 5+4=?,8,9,10,11,B
Sample Question 63: Math: 6+4=?,9,10,11,12,B
Sample Question 64: Math: 7+4=?,10,11,12,13,B
Sample Question 65: Math: 8+4=?,11,12,13,14,B
Sample Question 66: Math: 9+4=?,12,13,14,15,B
Sample Question 67: Math: 10+4=?,13,14,15,16,B
Sample Question 68: Math: 11+4=?,14,15,16,17,B
Sample Question 69: Math: 12+4=?,15,16,17,18,B
Sample Question 70: Math: 13+4=?,16,17,18,19,B
Sample Question 71: Math: 20-5=?,13,14,15,16,C
Sample Question 72: Math: 19-5=?,12,13,14,15,C
Sample Question 73: Math: 18-5=?,11,12,13,14,C
Sample Question 74: Math: 17-5=?,10,11,12,13,C
Sample Question 75: Math: 16-5=?,9,10,11,12,C
Sample Question 76: Math: 15-5=?,8,9,10,11,C
Sample Question 77: Math: 14-5=?,7,8,9,10,C
Sample Question 78: Math: 13-5=?,6,7,8,9,C
Sample Question 79: Math: 12-5=?,5,6,7,8,C
Sample Question 80: Math: 11-5=?,4,5,6,7,C
Sample Question 81: Math: 6+5=?,10,11,12,13,B
Sample Question 82: Math: 7+5=?,11,12,13,14,B
Sample Question 83: Math: 8+5=?,12,13,14,15,B
Sample Question 84: Math: 9+5=?,13,14,15,16,B
Sample Question 85: Math: 10+5=?,14,15,16,17,B
Sample Question 86: Math: 11+5=?,15,16,17,18,B
Sample Question 87: Math: 12+5=?,16,17,18,19,B
Sample Question 88: Math: 13+5=?,17,18,19,20,B
Sample Question 89: Math: 14+5=?,18,19,20,21,B
Sample Question 90: Math: 15+5=?,19,20,21,22,B
Sample Question 91: Math: 9-4=?,3,4,5,6,C
Sample Question 92: Math: 8-4=?,2,3,4,5,C
Sample Question 93: Math: 7-4=?,1,2,3,4,C
Sample Question 94: Math: 6-4=?,1,2,3,4,B
Sample Question 95: Math: 5-4=?,0,1,2,3,B
Sample Question 96: Math: 10-4=?,5,6,7,8,B
Sample Question 97: Math: 11-4=?,6,7,8,9,B
Sample Question 98: Math: 12-4=?,7,8,9,10,B
Sample Question 99: Math: 13-4=?,8,9,10,11,B
Sample Question 100: Math: 14-4=?,9,10,11,12,B
